DistrictNo,DistrictNameThai,DistrictNameEnglish,DistrictMOI_ID,DistrictOffice,DistrictGoverningAgency,DistrictGoverningAgencyCodeCitizenInfo,TopExecutivePosition,TopExecutivePositionandDistrict,ProvinceMOI_ID,ProvinceNameThai,RegionID,RegionName,ProvincialClusterID,ProvincialClusterName
001,เขตพระนคร,Phra Nakhon District,1001,สำนักงานเขตพระนคร,สำนักงานเขตพระนคร,0446410100000,ผู้อำนวยการเขต,ผู้อำนวยการเขตพระนคร,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
002,เขตดุสิต,Dusit District,1002,สำนักงานเขตดุสิต,สำนักงานเขตดุสิต,0446410200000,ผู้อำนวยการเขต,ผู้อำนวยการเขตดุสิต,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
003,เขตหนองจอก,Nong Chok District,1003,สำนักงานเขตหนองจอก,สำนักงานเขตหนองจอก,0446410300000,ผู้อำนวยการเขต,ผู้อำนวยการเขตหนองจอก,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
004,เขตบางรัก,Bang Rak District,1004,สำนักงานเขตบางรัก,สำนักงานเขตบางรัก,0446410400000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางรัก,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
005,เขตบางเขน,Bang Khen District,1005,สำนักงานเขตบางเขน,สำนักงานเขตบางเขน,0446410500000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางเขน,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
006,เขตบางกะปิ,Bang Kapi District,1006,สำนักงานเขตบางกะปิ,สำนักงานเขตบางกะปิ,0446410600000,ผู้อำนวยการเขต,ผู้อำนวยการเขตบางกะปิ,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
007,เขตปทุมวัน,Pathum Wan District,1007,สำนักงานเขตปทุมวัน,สำนักงานเขตปทุมวัน,0446410700000,ผู้อำนวยการเขต,ผู้อำนวยการเขตปทุมวัน,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai District,1008,สำนักงานเขตป้อมปราบศัตรูพ่าย,สำนักงานเขตป้อมปราบศัตรูพ่าย,0446410800000,ผู้อำนวยการเขต,ผู้อำนวยการเขตป้อมปราบศัตรูพ่าย,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
009,เขตพระโขนง,Phra Khanong District,1009,สำนักงานเขตพระโขนง,สำนักงานเขตพระโขนง,0446410900000,ผู้อำนวยการเขต,ผู้อำนวยการเขตพระโขนง,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
010,เขตมีนบุรี,Min Buri District,1010,สำนักงานเขตมีนบุรี,สำนักงานเขตมีนบุรี,0446411000000,ผู้อำนวยการเขต,ผู้อำนวยการเขตมีนบุรี,10,กรุงเทพมหานคร,7,ส่วนกลาง,71,ส่วนกลาง
